Q6 - escolaridade e indicadores medios anuais
Tabela principal - medias anuais por escolaridade
 ano_dados |      escolaridade       | qtd_deputados | media_gasto | media_fidelidade | media_proposicoes | media_presenca_eventos | media_presenca_plenario 
-----------+-------------------------+---------------+-------------+------------------+-------------------+------------------------+-------------------------
      2023 | Doutorado               |            16 |   380547.33 |            97.16 |            397.13 |                 190.44 |                   85.94
      2023 | Doutorado Incompleto    |             6 |   465091.91 |            98.53 |            328.33 |                 216.83 |                   97.83
      2023 | Ensino Fundamental      |            11 |   429843.55 |            88.95 |            239.82 |                 147.91 |                   93.45
      2023 | Ensino Médio            |            25 |   402467.83 |            92.38 |            214.08 |                 170.72 |                   93.68
      2023 | Ensino Médio Incompleto |             2 |   419134.04 |            89.21 |            176.00 |                 152.00 |                   79.50
      2023 | Mestrado                |            43 |   393250.88 |            87.75 |            281.98 |                 175.09 |                   89.98
      2023 | Mestrado Incompleto     |             5 |   381557.06 |           100.00 |            528.20 |                 250.00 |                   98.20
      2023 | Nao informado           |            14 |   231327.10 |            95.65 |            128.43 |                 117.64 |                   49.50
      2023 | Pós-Graduação           |            79 |   424891.64 |            89.44 |            362.56 |                 214.06 |                   97.48
      2023 | Primário Incompleto     |             1 |   411386.43 |                  |            622.00 |                 184.00 |                  102.00
      2023 | Secundário              |             2 |   520581.94 |            91.92 |            102.50 |                 194.00 |                  103.50
      2023 | Superior                |           322 |   425901.64 |            90.58 |            253.27 |                 188.69 |                   92.95
      2023 | Superior Incompleto     |            41 |   425079.15 |            89.66 |            222.39 |                 196.15 |                   94.10
      2024 | Doutorado               |            15 |   409760.34 |            97.42 |            246.07 |                 152.33 |                   68.73
      2024 | Doutorado Incompleto    |             6 |   510708.56 |            97.07 |            174.67 |                 175.17 |                   80.00
      2024 | Ensino Fundamental      |            12 |   433312.09 |            84.60 |             83.50 |                 105.67 |                   70.42
      2024 | Ensino Médio            |            28 |   397791.63 |            91.34 |             77.32 |                 120.36 |                   66.71
      2024 | Ensino Médio Incompleto |             2 |   306994.02 |            86.67 |             30.00 |                  83.00 |                   44.50
      2024 | Mestrado                |            42 |   426155.13 |            91.61 |            196.62 |                 135.29 |                   70.07
      2024 | Mestrado Incompleto     |             5 |   417490.77 |           100.00 |            518.40 |                 196.20 |                   79.80
      2024 | Nao informado           |            28 |   234094.72 |            93.61 |             56.89 |                  77.57 |                   37.25
      2024 | Pós-Graduação           |            80 |   444541.85 |            90.75 |            237.43 |                 150.95 |                   73.51
      2024 | Primário Incompleto     |             1 |   485866.74 |                  |            257.00 |                 113.00 |                   77.00
      2024 | Secundário              |             2 |   522494.26 |           100.00 |             22.50 |                 128.50 |                   80.50
      2024 | Superior                |           318 |   451995.94 |            92.43 |            134.75 |                 135.21 |                   71.98
      2024 | Superior Incompleto     |            42 |   425732.74 |            90.49 |             95.52 |                 124.36 |                   68.48
      2025 | Doutorado               |            16 |   352079.88 |            93.85 |            279.50 |                 200.00 |                   85.00
      2025 | Doutorado Incompleto    |             7 |   398065.63 |            93.09 |            275.43 |                 205.71 |                   92.71
      2025 | Ensino Fundamental      |            11 |   418195.56 |            86.27 |             86.55 |                 153.18 |                  102.00
      2025 | Ensino Médio            |            27 |   424449.44 |            93.07 |            135.59 |                 181.67 |                  102.30
      2025 | Ensino Médio Incompleto |             2 |   494973.74 |           100.00 |             76.50 |                 154.50 |                   98.00
      2025 | Mestrado                |            41 |   406851.90 |            92.31 |            300.44 |                 179.17 |                   94.88
      2025 | Mestrado Incompleto     |             5 |   366587.93 |           100.00 |            877.40 |                 287.80 |                  105.40
      2025 | Nao informado           |            15 |   291533.68 |            92.27 |             97.40 |                 132.20 |                   70.33
      2025 | Pós-Graduação           |            81 |   439096.91 |            93.28 |            292.51 |                 215.48 |                  105.20
      2025 | Primário Incompleto     |             1 |   474214.45 |                  |            161.00 |                 159.00 |                  116.00
      2025 | Secundário              |             2 |   397637.17 |                  |             31.00 |                 103.00 |                   80.50
      2025 | Secundário Incompleto   |             1 |   511089.19 |           100.00 |             19.00 |                  99.00 |                   86.00
      2025 | Superior                |           316 |   439944.91 |            91.43 |            249.95 |                 197.04 |                  103.14
      2025 | Superior Incompleto     |            39 |   422868.03 |            89.74 |            165.67 |                 191.85 |                  104.87
      2026 | Doutorado               |            15 |   158922.30 |            77.75 |             87.67 |                  92.00 |                   46.47
      2026 | Doutorado Incompleto    |             6 |   151614.10 |            92.12 |             55.83 |                  82.00 |                   44.50
      2026 | Ensino Fundamental      |            10 |   132249.33 |            93.35 |             20.70 |                  65.10 |                   46.90
      2026 | Ensino Médio            |            24 |   149670.47 |            83.33 |             33.46 |                  66.71 |                   43.25
      2026 | Ensino Médio Incompleto |             2 |   166119.50 |           100.00 |             14.50 |                  60.00 |                   45.00
      2026 | Mestrado                |            38 |   142002.77 |            94.00 |             63.34 |                  74.74 |                   45.79
      2026 | Mestrado Incompleto     |             5 |   122973.40 |            83.33 |            115.00 |                  96.80 |                   49.00
      2026 | Nao informado           |            17 |   107155.10 |            97.09 |             22.18 |                  54.59 |                   35.06
      2026 | Pós-Graduação           |            78 |   148789.34 |            91.64 |             79.78 |                  80.71 |                   47.05
      2026 | Primário Incompleto     |             1 |   152051.97 |                  |             37.00 |                  64.00 |                   51.00
      2026 | Secundário              |             1 |   111503.53 |                  |              1.00 |                  33.00 |                   23.00
      2026 | Superior                |           318 |   148320.80 |            94.97 |             59.64 |                  75.37 |                   44.25
      2026 | Superior Incompleto     |            41 |   128242.85 |            97.22 |             40.34 |                  68.80 |                   43.54
(53 rows)

